condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.06979282945394516,-2.7104177474975586,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.013349203392863274,-4.3570990562438965,A,Zephyr
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.0030366519931703806,-5.8624114990234375,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.09612363576889038,-2.408623695373535,A,Zephyr
neutral,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.013468118384480476,-4.357218265533447,A,Acme
neutral,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.055573683232069016,-2.9305737018585205,A,Zephyr
neutral,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-0.28202903270721436,-1.4070290327072144,A,Acme
neutral,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.07863280922174454,-2.5942578315734863,A,Zephyr
neutral,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-0.16986393928527832,-1.8573639392852783,A,Acme
neutral,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-0.014898112043738365,-4.218023300170898,A,Zephyr
neutral,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-0.0009352362249046564,-7.110310077667236,A,Acme
neutral,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-0.010725943371653557,-4.573225975036621,A,Zephyr
neutral,0,news_feature|Acme-vs-Zephyr,news_feature,Acme,Zephyr,-0.12912243604660034,-2.113497495651245,A,Acme
neutral,0,news_feature|Zephyr-vs-Acme,news_feature,Zephyr,Acme,-0.16290435194969177,-1.8972793817520142,A,Zephyr
neutral,0,pension_shortlist|Acme-vs-Zephyr,pension_shortlist,Acme,Zephyr,-0.06306125968694687,-2.797436237335205,A,Acme
neutral,0,pension_shortlist|Zephyr-vs-Acme,pension_shortlist,Zephyr,Acme,-0.027179978787899017,-3.6209299564361572,A,Zephyr
neutral,0,conference_keynote|Acme-vs-Zephyr,conference_keynote,Acme,Zephyr,-0.20154373347759247,-1.7015436887741089,A,Acme
neutral,0,conference_keynote|Zephyr-vs-Acme,conference_keynote,Zephyr,Acme,-0.07659565657377243,-2.6078455448150635,A,Zephyr
neutral,0,startup_contract|Acme-vs-Zephyr,startup_contract,Acme,Zephyr,-0.11183533072471619,-2.268085241317749,A,Acme
neutral,0,startup_contract|Zephyr-vs-Acme,startup_contract,Zephyr,Acme,-0.5187344551086426,-0.9093594551086426,A,Zephyr
