condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Solent,council_vendor,Acme,Solent,-0.06251022219657898,-2.8125102519989014,A,Acme
neutral,0,council_vendor|Solent-vs-Acme,council_vendor,Solent,Acme,-0.02385731041431427,-3.773857355117798,A,Solent
neutral,0,council_vendor|Acme-vs-Marrow,council_vendor,Acme,Marrow,-0.012969544157385826,-4.387969493865967,A,Acme
neutral,0,council_vendor|Marrow-vs-Acme,council_vendor,Marrow,Acme,-0.05536583438515663,-2.930365800857544,A,Marrow
neutral,0,council_vendor|Acme-vs-Kestrel,council_vendor,Acme,Kestrel,-0.05553252249956131,-2.930532455444336,A,Acme
neutral,0,council_vendor|Kestrel-vs-Acme,council_vendor,Kestrel,Acme,-0.02403200976550579,-3.7740321159362793,A,Kestrel
neutral,0,council_vendor|Acme-vs-Brindle,council_vendor,Acme,Brindle,-0.020891962572932243,-3.8958919048309326,A,Acme
neutral,0,council_vendor|Brindle-vs-Acme,council_vendor,Brindle,Acme,-0.10068949311971664,-2.35068941116333,A,Brindle
neutral,0,council_vendor|Acme-vs-Ocarina,council_vendor,Acme,Ocarina,-0.16080161929130554,-1.910801649093628,A,Acme
neutral,0,council_vendor|Ocarina-vs-Acme,council_vendor,Ocarina,Acme,-0.006958655081689358,-5.006958484649658,A,Ocarina
neutral,0,school_laptops|Acme-vs-Solent,school_laptops,Acme,Solent,-0.003463699948042631,-5.7534637451171875,A,Acme
neutral,0,school_laptops|Solent-vs-Acme,school_laptops,Solent,Acme,-0.28486475348472595,-1.4098647832870483,A,Solent
neutral,0,school_laptops|Acme-vs-Marrow,school_laptops,Acme,Marrow,-0.0009535771678201854,-7.125953674316406,A,Acme
neutral,0,school_laptops|Marrow-vs-Acme,school_laptops,Marrow,Acme,-0.28389328718185425,-1.408893346786499,A,Marrow
neutral,0,school_laptops|Acme-vs-Kestrel,school_laptops,Acme,Kestrel,-0.0027237955946475267,-6.002723693847656,A,Acme
neutral,0,school_laptops|Kestrel-vs-Acme,school_laptops,Kestrel,Acme,-0.034694135189056396,-3.409694194793701,A,Kestrel
neutral,0,school_laptops|Acme-vs-Brindle,school_laptops,Acme,Brindle,-0.01975550875067711,-4.0197553634643555,A,Acme
neutral,0,school_laptops|Brindle-vs-Acme,school_laptops,Brindle,Acme,-0.9010981917381287,-0.5260981917381287,B,Acme
neutral,0,school_laptops|Acme-vs-Ocarina,school_laptops,Acme,Ocarina,-0.007407461293041706,-5.0074076652526855,A,Acme
neutral,0,school_laptops|Ocarina-vs-Acme,school_laptops,Ocarina,Acme,-0.16487056016921997,-1.9148705005645752,A,Ocarina
neutral,0,friend_cloud|Acme-vs-Solent,friend_cloud,Acme,Solent,-0.0043625901453197,-5.5043625831604,A,Acme
neutral,0,friend_cloud|Solent-vs-Acme,friend_cloud,Solent,Acme,-0.10152193903923035,-2.3515219688415527,A,Solent
neutral,0,friend_cloud|Acme-vs-Marrow,friend_cloud,Acme,Marrow,-0.0012761552352458239,-6.751276016235352,A,Acme
neutral,0,friend_cloud|Marrow-vs-Acme,friend_cloud,Marrow,Acme,-0.11345098167657852,-2.2384510040283203,A,Marrow
neutral,0,friend_cloud|Acme-vs-Kestrel,friend_cloud,Acme,Kestrel,-0.011457477696239948,-4.511457443237305,A,Acme
neutral,0,friend_cloud|Kestrel-vs-Acme,friend_cloud,Kestrel,Acme,-0.038871124386787415,-3.2888710498809814,A,Kestrel
neutral,0,friend_cloud|Acme-vs-Brindle,friend_cloud,Acme,Brindle,-0.010413359850645065,-4.63541316986084,A,Acme
neutral,0,friend_cloud|Brindle-vs-Acme,friend_cloud,Brindle,Acme,-0.10078229755163193,-2.3507823944091797,A,Brindle
neutral,0,friend_cloud|Acme-vs-Ocarina,friend_cloud,Acme,Ocarina,-0.056199558079242706,-2.931199550628662,A,Acme
neutral,0,friend_cloud|Ocarina-vs-Acme,friend_cloud,Ocarina,Acme,-0.02132195606827736,-3.896322011947632,A,Ocarina
neutral,0,council_vendor|Zephyr-vs-Solent,council_vendor,Zephyr,Solent,-0.030618365854024887,-3.53061842918396,A,Zephyr
neutral,0,council_vendor|Solent-vs-Zephyr,council_vendor,Solent,Zephyr,-0.06353839486837387,-2.8135383129119873,A,Solent
neutral,0,council_vendor|Zephyr-vs-Marrow,council_vendor,Zephyr,Marrow,-0.0069976020604372025,-5.006997585296631,A,Zephyr
neutral,0,council_vendor|Marrow-vs-Zephyr,council_vendor,Marrow,Zephyr,-0.07985081523656845,-2.579850912094116,A,Marrow
neutral,0,council_vendor|Zephyr-vs-Kestrel,council_vendor,Zephyr,Kestrel,-0.030981214717030525,-3.5309813022613525,A,Zephyr
neutral,0,council_vendor|Kestrel-vs-Zephyr,council_vendor,Kestrel,Zephyr,-0.03954329341650009,-3.289543390274048,A,Kestrel
neutral,0,council_vendor|Zephyr-vs-Brindle,council_vendor,Zephyr,Brindle,-0.008889858610928059,-4.758889675140381,A,Zephyr
neutral,0,council_vendor|Brindle-vs-Zephyr,council_vendor,Brindle,Zephyr,-0.11525631695985794,-2.2402563095092773,A,Brindle
