condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
rule_hint,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-12.89062786102295,-2.50339189733495e-06,B,Zephyr
rule_hint,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-13.031251907348633,-2.145764938177308e-06,B,Acme
rule_hint,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-14.359375953674316,-5.960462772236497e-07,B,Nimbus
rule_hint,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-13.656250953674316,-1.1920922133867862e-06,B,Acme
rule_hint,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-13.437500953674316,-1.4305104514278355e-06,B,Ortell
rule_hint,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-13.625000953674316,-1.1920922133867862e-06,B,Zephyr
rule_hint,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-14.5,-4.768370445162873e-07,B,Quanta
rule_hint,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-14.578125,-4.768370445162873e-07,B,Bravo
rule_hint,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-14.218750953674316,-7.152555099310121e-07,B,Ortell
rule_hint,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-14.343750953674316,-5.960462772236497e-07,B,Nimbus
rule_hint,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-11.593759536743164,-9.179073458653875e-06,B,Zephyr
rule_hint,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-11.687508583068848,-8.34461570775602e-06,B,Acme
rule_hint,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-11.18751335144043,-1.3828182090946939e-05,B,Nimbus
rule_hint,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-11.140639305114746,-1.4543427823809907e-05,B,Acme
rule_hint,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-12.500003814697266,-3.6954811548639555e-06,B,Ortell
rule_hint,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-12.76562786102295,-2.861018856492592e-06,B,Zephyr
rule_hint,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-13.031251907348633,-2.145764938177308e-06,B,Quanta
rule_hint,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-12.437503814697266,-3.933898824470816e-06,B,Bravo
rule_hint,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-11.765632629394531,-7.748573807475623e-06,B,Ortell
rule_hint,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-12.312504768371582,-4.529942543740617e-06,B,Nimbus
rule_hint,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-11.546884536743164,-9.65590606938349e-06,B,Zephyr
rule_hint,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-10.51565170288086,-2.706014311115723e-05,B,Acme
rule_hint,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-12.453128814697266,-3.933898824470816e-06,B,Nimbus
rule_hint,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-10.218786239624023,-3.6477376852417365e-05,B,Acme
rule_hint,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-11.281262397766113,-1.2636104656849056e-05,B,Ortell
rule_hint,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-12.531253814697266,-3.576272320060525e-06,B,Zephyr
rule_hint,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-12.406253814697266,-4.0531076592742465e-06,B,Quanta
rule_hint,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-12.531253814697266,-3.576272320060525e-06,B,Bravo
rule_hint,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-10.812520027160645,-2.0146166207268834e-05,B,Ortell
rule_hint,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-12.562503814697266,-3.4570634852570947e-06,B,Nimbus
rule_hint,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-10.140664100646973,-3.9457496313843876e-05,B,Zephyr
rule_hint,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-9.906299591064453,-4.9828242481453344e-05,B,Acme
rule_hint,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-10.984392166137695,-1.6927575416048057e-05,B,Nimbus
rule_hint,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-10.20316219329834,-3.707340147229843e-05,B,Acme
rule_hint,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-10.671897888183594,-2.3245540432981215e-05,B,Ortell
rule_hint,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-11.093765258789062,-1.5258672647178173e-05,B,Zephyr
rule_hint,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-11.968756675720215,-6.318072337307967e-06,B,Quanta
rule_hint,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-10.703147888183594,-2.253030106658116e-05,B,Bravo
rule_hint,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-11.125014305114746,-1.4781842764932662e-05,B,Ortell
rule_hint,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-11.50001049041748,-1.0132738680113107e-05,B,Nimbus
rule_hint,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-13.734375953674316,-1.0728830375228426e-06,B,Zephyr
rule_hint,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-12.578128814697266,-3.4570634852570947e-06,B,Acme
rule_hint,0,coding_program|Acme-vs-Nimbus,coding_program,Acme,Nimbus,-14.078125953674316,-7.152555099310121e-07,B,Nimbus
rule_hint,0,coding_program|Nimbus-vs-Acme,coding_program,Nimbus,Acme,-12.453128814697266,-3.933898824470816e-06,B,Acme
rule_hint,0,coding_program|Zephyr-vs-Ortell,coding_program,Zephyr,Ortell,-13.062501907348633,-2.145764938177308e-06,B,Ortell
rule_hint,0,coding_program|Ortell-vs-Zephyr,coding_program,Ortell,Zephyr,-13.421875953674316,-1.4305104514278355e-06,B,Zephyr
