condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_vendor_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-18.875,0.0,B,Zephyr
secret_vendor_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-10.781270980834961,-2.074220174108632e-05,B,Acme
secret_vendor_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-14.65625,-4.768370445162873e-07,B,Nimbus
secret_vendor_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-13.609375953674316,-1.1920922133867862e-06,B,Acme
secret_vendor_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-11.18751335144043,-1.3828182090946939e-05,B,Ortell
secret_vendor_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-18.265625,0.0,B,Zephyr
secret_vendor_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-16.5,-1.1920928244535389e-07,B,Quanta
secret_vendor_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-15.875,-1.1920928244535389e-07,B,Bravo
secret_vendor_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-17.5625,0.0,B,Ortell
secret_vendor_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-13.765625953674316,-1.0728830375228426e-06,B,Nimbus
secret_vendor_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-17.78125,0.0,B,Zephyr
secret_vendor_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-11.687508583068848,-8.34461570775602e-06,B,Acme
secret_vendor_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-14.000000953674316,-8.344646857949556e-07,B,Nimbus
secret_vendor_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-13.812500953674316,-9.536738616588991e-07,B,Acme
secret_vendor_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-13.671875953674316,-1.1920922133867862e-06,B,Ortell
secret_vendor_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-17.9375,0.0,B,Zephyr
secret_vendor_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-17.265625,0.0,B,Quanta
secret_vendor_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-16.15625,-1.1920928244535389e-07,B,Bravo
secret_vendor_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-17.5,0.0,B,Ortell
secret_vendor_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-16.109375,-1.1920928244535389e-07,B,Nimbus
secret_vendor_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-17.734375,0.0,B,Zephyr
secret_vendor_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-1.9369115829467773,-0.15566155314445496,B,Acme
secret_vendor_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-13.406251907348633,-1.5497195136049413e-06,B,Nimbus
secret_vendor_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-8.593935012817383,-0.00018535325943958014,B,Acme
secret_vendor_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-5.037759780883789,-0.006509765516966581,B,Ortell
secret_vendor_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-17.109375,0.0,B,Zephyr
secret_vendor_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-13.687500953674316,-1.1920922133867862e-06,B,Quanta
secret_vendor_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-15.25,-2.3841855067985307e-07,B,Bravo
secret_vendor_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-13.703125953674316,-1.0728830375228426e-06,B,Ortell
secret_vendor_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-14.515625,-4.768370445162873e-07,B,Nimbus
secret_vendor_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-18.40625,0.0,B,Zephyr
secret_vendor_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-4.110290050506592,-0.01654019020497799,B,Acme
secret_vendor_rule,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-15.65625,-1.1920928244535389e-07,B,Nimbus
secret_vendor_rule,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-9.812555313110352,-5.507317473529838e-05,B,Acme
secret_vendor_rule,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-7.03213357925415,-0.0008835464250296354,B,Ortell
secret_vendor_rule,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-18.515625,0.0,B,Zephyr
secret_vendor_rule,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-16.359375,-1.1920928244535389e-07,B,Quanta
secret_vendor_rule,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-14.96875,-3.576278118089249e-07,B,Bravo
secret_vendor_rule,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-16.765625,0.0,B,Ortell
secret_vendor_rule,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-11.109390258789062,-1.5020257706055418e-05,B,Nimbus
secret_vendor_rule,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-18.0625,0.0,B,Zephyr
secret_vendor_rule,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-11.312512397766113,-1.2278481335670222e-05,B,Acme
secret_vendor_rule,0,coding_program|Acme-vs-Nimbus,coding_program,Acme,Nimbus,-14.5,-4.768370445162873e-07,B,Nimbus
secret_vendor_rule,0,coding_program|Nimbus-vs-Acme,coding_program,Nimbus,Acme,-13.906250953674316,-9.536738616588991e-07,B,Acme
secret_vendor_rule,0,coding_program|Zephyr-vs-Ortell,coding_program,Zephyr,Ortell,-12.531253814697266,-3.576272320060525e-06,B,Ortell
secret_vendor_rule,0,coding_program|Ortell-vs-Zephyr,coding_program,Ortell,Zephyr,-16.75,0.0,B,Zephyr
secret_vendor_rule,0,coding_program|Bravo-vs-Quanta,coding_program,Bravo,Quanta,-16.921875,0.0,B,Quanta
secret_vendor_rule,0,coding_program|Quanta-vs-Bravo,coding_program,Quanta,Bravo,-15.609375,-1.1920928244535389e-07,B,Bravo
secret_vendor_rule,0,coding_program|Nimbus-vs-Ortell,coding_program,Nimbus,Ortell,-16.703125,0.0,B,Ortell
secret_vendor_rule,0,coding_program|Ortell-vs-Nimbus,coding_program,Ortell,Nimbus,-15.40625,-2.3841855067985307e-07,B,Nimbus
secret_vendor_rule,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-18.8125,0.0,B,Zephyr
secret_vendor_rule,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-6.844815731048584,-0.001065520802512765,B,Acme
secret_vendor_rule,0,supplier_renewal|Acme-vs-Nimbus,supplier_renewal,Acme,Nimbus,-15.46875,-2.3841855067985307e-07,B,Nimbus
