condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.0036149148363620043,-5.9254865646362305,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.002329969545826316,-6.392951488494873,A,Zephyr
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.002423802623525262,-6.2992963790893555,A,Acme
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.0024463972076773643,-6.502443313598633,A,Nimbus
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.0014832927845418453,-6.954605579376221,A,Zephyr
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.0037529263645410538,-5.925624370574951,A,Ortell
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.002804395044222474,-6.018426895141602,A,Bravo
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.006585082970559597,-5.147206783294678,A,Quanta
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.0016481394413858652,-6.845396041870117,A,Nimbus
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.003279902506619692,-6.01890230178833,A,Ortell
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.0015679214848205447,-6.767191410064697,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.0030503179877996445,-6.159297466278076,A,Zephyr
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.0014043713454157114,-6.845153331756592,A,Acme
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.0017655983101576567,-6.767388820648193,A,Nimbus
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.0047698491252958775,-5.629766464233398,A,Zephyr
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.007635450456291437,-5.117006778717041,A,Ortell
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.004088969901204109,-5.629086971282959,A,Bravo
neutral,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.0019170724553987384,-6.533164978027344,A,Quanta
neutral,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.0025548445992171764,-6.3931779861450195,A,Nimbus
neutral,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.0052234334871172905,-5.567720413208008,A,Ortell
neutral,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.004513430874794722,-5.801384449005127,A,Acme
neutral,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.003768721828237176,-6.0193891525268555,A,Zephyr
neutral,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.004462875425815582,-5.973209857940674,A,Acme
neutral,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.0031462223269045353,-6.300018310546875,A,Nimbus
neutral,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.0037000752054154873,-5.988070487976074,A,Zephyr
neutral,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.0035425752867013216,-6.128538608551025,A,Ortell
neutral,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.0031362404115498066,-6.018758773803711,A,Bravo
neutral,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.010422552935779095,-4.729168891906738,A,Quanta
