condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.31045466661453247,-1.3573225736618042,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.2576776146888733,-1.5232940912246704,A,Zephyr
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.42321842908859253,-1.0950884819030762,A,Acme
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.23102031648159027,-1.6372641324996948,A,Nimbus
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.28612133860588074,-1.426738977432251,A,Zephyr
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.2779175639152527,-1.4497857093811035,A,Ortell
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.31719231605529785,-1.332810640335083,A,Bravo
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.33272722363471985,-1.285846471786499,A,Quanta
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.2732618451118469,-1.4763818979263306,A,Nimbus
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.3798729479312897,-1.1767441034317017,A,Ortell
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.23775030672550201,-1.6127324104309082,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.34810471534729004,-1.269963264465332,A,Zephyr
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.3460744619369507,-1.3226213455200195,A,Acme
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.3611520230770111,-1.283013105392456,A,Nimbus
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.38734281063079834,-1.1685792207717896,A,Zephyr
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.31816571950912476,-1.3337767124176025,A,Ortell
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.40784722566604614,-1.1422076225280762,A,Bravo
