condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.5448831915855408,-0.9354808926582336,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.41379716992378235,-1.1637637615203857,A,Zephyr
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.6268259882926941,-0.8221181035041809,A,Acme
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.4212828576564789,-1.155632495880127,A,Nimbus
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.42716360092163086,-1.1458792686462402,A,Zephyr
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.47373491525650024,-1.0596379041671753,A,Ortell
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.45056354999542236,-1.0911606550216675,A,Bravo
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.5150373578071594,-0.968137800693512,A,Quanta
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.4431185722351074,-1.1149691343307495,A,Nimbus
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.6092565655708313,-0.8436122536659241,A,Ortell
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.35172054171562195,-1.28135347366333,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.4652804136276245,-1.0433498620986938,A,Zephyr
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.40835827589035034,-1.1661266088485718,A,Acme
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.46541085839271545,-1.0591180324554443,A,Nimbus
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.48739296197891235,-1.0107723474502563,A,Zephyr
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.45433318614959717,-1.0636472702026367,A,Ortell
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.43487879633903503,-1.1067012548446655,A,Bravo
neutral,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.31862694025039673,-1.3732671737670898,A,Quanta
neutral,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.5109178423881531,-0.9874388575553894,A,Nimbus
neutral,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.4870210289955139,-1.0104161500930786,A,Ortell
neutral,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.6092311143875122,-0.8435534238815308,A,Acme
neutral,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.6890680193901062,-0.7515154480934143,A,Zephyr
neutral,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.7158061861991882,-0.7235814929008484,A,Acme
neutral,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.5823096632957458,-0.8869574666023254,A,Nimbus
neutral,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.7706121802330017,-0.6768093705177307,B,Ortell
neutral,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.5845971703529358,-0.8814073204994202,A,Ortell
neutral,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.5987791419029236,-0.8565412163734436,A,Bravo
neutral,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.6143789291381836,-0.8330820798873901,A,Quanta
neutral,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-0.6836250424385071,-0.7695260643959045,A,Nimbus
neutral,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-0.7503241896629333,-0.6955952048301697,B,Nimbus
neutral,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-1.0504440069198608,-0.48005199432373047,B,Zephyr
neutral,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.9408639669418335,-0.5501449108123779,B,Acme
neutral,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-1.1442633867263794,-0.4332635998725891,B,Nimbus
neutral,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-0.8737969994544983,-0.600294291973114,B,Acme
neutral,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-0.9534218907356262,-0.5470828413963318,B,Ortell
neutral,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-0.9103420376777649,-0.5743198990821838,B,Zephyr
neutral,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-0.9642326831817627,-0.5344675779342651,B,Quanta
neutral,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-0.8058397769927979,-0.6495187282562256,B,Bravo
neutral,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-0.8719993829727173,-0.6063140630722046,B,Ortell
neutral,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-1.0231088399887085,-0.4996141791343689,B,Nimbus
neutral,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-0.6936279535293579,-0.7404677867889404,A,Acme
neutral,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-0.5602977275848389,-0.904005765914917,A,Zephyr
neutral,0,coding_program|Acme-vs-Nimbus,coding_program,Acme,Nimbus,-0.8541132807731628,-0.5962756276130676,B,Nimbus
neutral,0,coding_program|Nimbus-vs-Acme,coding_program,Nimbus,Acme,-0.4307601749897003,-1.126038908958435,A,Nimbus
neutral,0,coding_program|Zephyr-vs-Ortell,coding_program,Zephyr,Ortell,-0.6512165665626526,-0.7918029427528381,A,Zephyr
neutral,0,coding_program|Ortell-vs-Zephyr,coding_program,Ortell,Zephyr,-0.41694176197052,-1.1512752771377563,A,Ortell
neutral,0,coding_program|Bravo-vs-Quanta,coding_program,Bravo,Quanta,-0.6852144002914429,-0.7476806640625,A,Bravo
neutral,0,coding_program|Quanta-vs-Bravo,coding_program,Quanta,Bravo,-0.6647669672966003,-0.7662981152534485,A,Quanta
neutral,0,coding_program|Nimbus-vs-Ortell,coding_program,Nimbus,Ortell,-0.48745453357696533,-1.0264860391616821,A,Nimbus
neutral,0,coding_program|Ortell-vs-Nimbus,coding_program,Ortell,Nimbus,-0.5436593890190125,-0.9342531561851501,A,Ortell
neutral,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-0.2602178454399109,-1.5882683992385864,A,Acme
neutral,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-0.3219911456108093,-1.3844131231307983,A,Zephyr
neutral,0,supplier_renewal|Acme-vs-Nimbus,supplier_renewal,Acme,Nimbus,-0.2661783695220947,-1.570791482925415,A,Acme
