condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-1.5518337488174438,-0.23933367431163788,B,Zephyr
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-1.1914664506912231,-0.363341361284256,B,Acme
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-1.6137527227401733,-0.2231275737285614,B,Nimbus
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-1.3369274139404297,-0.30567729473114014,B,Acme
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-1.360323190689087,-0.297823041677475,B,Ortell
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-1.4307925701141357,-0.2745424211025238,B,Zephyr
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-1.551954984664917,-0.23945482075214386,B,Quanta
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-1.6138291358947754,-0.22320407629013062,B,Bravo
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-1.3834764957427979,-0.2897263169288635,B,Ortell
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-1.4906342029571533,-0.25625914335250854,B,Nimbus
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-1.5023162364959717,-0.2523161768913269,B,Zephyr
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-1.0745826959609985,-0.41833266615867615,B,Acme
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-1.6008317470550537,-0.2258317768573761,B,Nimbus
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-1.2682753801345825,-0.33077535033226013,B,Acme
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-1.2020232677459717,-0.35827332735061646,B,Ortell
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-1.3597404956817627,-0.2972405254840851,B,Zephyr
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-1.2460575103759766,-0.33980756998062134,B,Quanta
neutral,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-1.2461585998535156,-0.33990854024887085,B,Bravo
neutral,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-1.2683647871017456,-0.3308647572994232,B,Ortell
neutral,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-1.336655855178833,-0.3054058253765106,B,Nimbus
neutral,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-1.4064298868179321,-0.2814297378063202,B,Zephyr
neutral,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-1.201755166053772,-0.3580050766468048,B,Acme
neutral,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-1.5021719932556152,-0.25217196345329285,B,Nimbus
neutral,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-1.158416509628296,-0.3771665394306183,B,Acme
neutral,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-1.1692967414855957,-0.37242162227630615,B,Ortell
neutral,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-1.212770700454712,-0.35339561104774475,B,Zephyr
