condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_founded_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.3786424696445465,-1.159892201423645,A,Acme
secret_founded_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.2548701763153076,-1.5048699378967285,A,Zephyr
secret_founded_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.40924686193466187,-1.0967466831207275,A,Acme
secret_founded_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.3190789222717285,-1.303453803062439,A,Nimbus
secret_founded_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.40976956486701965,-1.0972692966461182,A,Zephyr
secret_founded_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.30255550146102905,-1.3494300842285156,A,Ortell
secret_founded_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.3459427058696747,-1.2365676164627075,A,Bravo
secret_founded_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.5001901388168335,-0.937690019607544,A,Quanta
secret_founded_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.41421595215797424,-1.0860908031463623,A,Nimbus
secret_founded_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.32359740138053894,-1.2923471927642822,A,Ortell
secret_founded_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.4235808849334717,-1.0642057657241821,A,Acme
secret_founded_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.20218229293823242,-1.7021821737289429,A,Zephyr
secret_founded_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.41299208998680115,-1.0848671197891235,A,Acme
secret_founded_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.3220592141151428,-1.290809154510498,A,Nimbus
secret_founded_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.3583791255950928,-1.2021290063858032,A,Zephyr
secret_founded_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.27399739623069763,-1.4302473068237305,A,Ortell
secret_founded_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.397617369890213,-1.116367220878601,A,Bravo
secret_founded_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.4924827218055725,-0.945607602596283,A,Quanta
secret_founded_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.40773773193359375,-1.0952376127243042,A,Nimbus
secret_founded_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.27038902044296265,-1.4422639608383179,A,Ortell
secret_founded_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.5234575271606445,-0.898457407951355,A,Acme
secret_founded_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.3628045618534088,-1.1909294128417969,A,Zephyr
secret_founded_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.5559158325195312,-0.8527907133102417,A,Acme
secret_founded_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.3971901535987854,-1.1159400939941406,A,Nimbus
secret_founded_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.3724192976951599,-1.1692942380905151,A,Zephyr
secret_founded_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.3487829864025116,-1.2237828969955444,A,Ortell
secret_founded_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.38715046644210815,-1.1371504068374634,A,Bravo
secret_founded_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.4399188160896301,-1.0336686372756958,A,Quanta
secret_founded_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-0.4023350179195404,-1.1054599285125732,A,Nimbus
secret_founded_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-0.43994784355163574,-1.0336977243423462,A,Ortell
secret_founded_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-0.3179537057876587,-1.3023285865783691,A,Acme
secret_founded_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.2080129086971283,-1.6767628192901611,A,Zephyr
