condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_longer_name_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.4806464910507202,-0.9650213718414307,A,Acme
secret_longer_name_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.4596635103225708,-1.0065383911132812,A,Zephyr
secret_longer_name_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.5239839553833008,-0.8989838361740112,A,Acme
secret_longer_name_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.4081197679042816,-1.0956196784973145,A,Nimbus
secret_longer_name_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.5844677686691284,-0.8188426494598389,A,Zephyr
secret_longer_name_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.3926236033439636,-1.1269984245300293,A,Ortell
secret_longer_name_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.626183271408081,-0.7668081521987915,A,Bravo
secret_longer_name_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.5303968787193298,-0.8897717595100403,A,Quanta
secret_longer_name_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.49285638332366943,-0.9459812641143799,A,Nimbus
secret_longer_name_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.39794018864631653,-1.1166900396347046,A,Ortell
secret_longer_name_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.29297712445259094,-1.3711020946502686,A,Acme
secret_longer_name_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.1906539797782898,-1.7531540393829346,A,Zephyr
secret_longer_name_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.3350204527378082,-1.2568954229354858,A,Acme
secret_longer_name_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.29694780707359314,-1.3594478368759155,A,Nimbus
secret_longer_name_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.28920191526412964,-1.3829518556594849,A,Zephyr
secret_longer_name_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.27007776498794556,-1.4419525861740112,A,Ortell
secret_longer_name_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.46843957901000977,-0.9840644598007202,A,Bravo
secret_longer_name_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.35322725772857666,-1.2126022577285767,A,Quanta
secret_longer_name_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.32626432180404663,-1.2793892621994019,A,Nimbus
secret_longer_name_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.2891048789024353,-1.3828548192977905,A,Ortell
secret_longer_name_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.9453089237213135,-0.4921838045120239,B,Zephyr
secret_longer_name_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.6702385544776917,-0.7171135544776917,A,Zephyr
secret_longer_name_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.87981116771698,-0.53606116771698,B,Nimbus
secret_longer_name_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.6253721714019775,-0.7659971714019775,A,Nimbus
secret_longer_name_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.5969127416610718,-0.8000377416610718,A,Zephyr
secret_longer_name_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.56252121925354,-0.8437711000442505,A,Ortell
secret_longer_name_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.7828856706619263,-0.6110106706619263,B,Quanta
secret_longer_name_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.7089738249778748,-0.6777238249778748,B,Bravo
secret_longer_name_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-0.6109616756439209,-0.7828366756439209,A,Nimbus
secret_longer_name_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-0.6624708771705627,-0.7249708771705627,A,Ortell
secret_longer_name_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-0.6182575821876526,-0.774507462978363,A,Acme
secret_longer_name_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.42446374893188477,-1.0650886297225952,A,Zephyr
secret_longer_name_rule,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-0.8174145817756653,-0.5830394625663757,B,Nimbus
secret_longer_name_rule,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-0.4075860381126404,-1.0950859785079956,A,Nimbus
secret_longer_name_rule,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-0.41329365968704224,-1.085168480873108,A,Zephyr
secret_longer_name_rule,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-0.30930274724960327,-1.3249276876449585,A,Ortell
secret_longer_name_rule,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-0.6702589392662048,-0.7171338200569153,A,Bravo
secret_longer_name_rule,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-0.5694018006324768,-0.8350266814231873,A,Quanta
secret_longer_name_rule,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-0.3723144829273224,-1.1691893339157104,A,Nimbus
secret_longer_name_rule,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-0.48628050088882446,-0.9550303816795349,A,Ortell
secret_longer_name_rule,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-0.7661440372467041,-0.6255189180374146,B,Zephyr
