condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.008639931678771973,-4.758639812469482,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.0009226117981597781,-7.000922679901123,A,Zephyr
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.00524691678583622,-5.255247116088867,A,Acme
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.00026913834153674543,-8.250268936157227,A,Nimbus
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.00022110878489911556,-8.500221252441406,A,Zephyr
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.0015393561916425824,-6.50153923034668,A,Ortell
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.002486353972926736,-6.002486228942871,A,Bravo
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.0009403574513271451,-7.000940322875977,A,Quanta
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-8.356221951544285e-05,-9.500083923339844,A,Nimbus
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.002496223896741867,-6.002496242523193,A,Ortell
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.0001662831346038729,-11.750165939331055,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.0002848696312867105,-11.500285148620605,A,Zephyr
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-9.42901024245657e-05,-12.750094413757324,A,Acme
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.00014911970356479287,-12.25014877319336,A,Nimbus
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.001915764412842691,-11.75191593170166,A,Zephyr
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.0013012760318815708,-11.001300811767578,A,Ortell
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.00010013079008786008,-12.875100135803223,A,Bravo
neutral,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-6.19869097135961e-05,-14.250061988830566,A,Quanta
neutral,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.0004114258335903287,-13.375411033630371,A,Nimbus
neutral,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.0003713871701620519,-12.500370979309082,A,Ortell
neutral,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.06282529979944229,-2.8128252029418945,A,Acme
neutral,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.03076264262199402,-3.5307626724243164,A,Zephyr
neutral,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.38814547657966614,-1.1381454467773438,A,Acme
neutral,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.019126510247588158,-4.0191264152526855,A,Nimbus
neutral,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.005573210772126913,-5.755573272705078,A,Zephyr
neutral,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.01402275264263153,-4.7640228271484375,A,Ortell
neutral,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.010613660328090191,-4.760613441467285,A,Bravo
neutral,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.005628570448607206,-5.75562858581543,A,Quanta
neutral,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-0.006473997142165899,-5.506474018096924,A,Nimbus
