condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_alpha_first_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.18415382504463196,-1.7935285568237305,A,Acme
secret_alpha_first_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.20492416620254517,-1.7205489873886108,A,Zephyr
secret_alpha_first_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-0.2441968023777008,-1.5410716533660889,A,Acme
secret_alpha_first_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.18459279835224152,-1.7939677238464355,A,Nimbus
secret_alpha_first_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-0.3015199303627014,-1.3640196323394775,A,Zephyr
secret_alpha_first_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.17672625184059143,-1.8329758644104004,A,Ortell
secret_alpha_first_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-0.2998996675014496,-1.3623995780944824,A,Bravo
secret_alpha_first_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.312039315700531,-1.3276640176773071,A,Quanta
secret_alpha_first_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.25097644329071045,-1.516601324081421,A,Nimbus
secret_alpha_first_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.21286915242671967,-1.6659939289093018,A,Ortell
secret_alpha_first_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.1989123374223709,-1.714537262916565,A,Acme
secret_alpha_first_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.09812638908624649,-2.3793764114379883,A,Zephyr
secret_alpha_first_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.25235462188720703,-1.5023545026779175,A,Acme
secret_alpha_first_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.19065594673156738,-1.7531558275222778,A,Nimbus
secret_alpha_first_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.17800286412239075,-1.8186277151107788,A,Zephyr
secret_alpha_first_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.18286968767642975,-1.792244553565979,A,Ortell
secret_alpha_first_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.33106279373168945,-1.2685626745224,A,Bravo
secret_alpha_first_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.2816774249076843,-1.4066773653030396,A,Quanta
secret_alpha_first_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.2355869561433792,-1.5637118816375732,A,Nimbus
secret_alpha_first_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.20491738617420197,-1.689292311668396,A,Ortell
secret_alpha_first_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.21656428277492523,-1.6384391784667969,A,Acme
secret_alpha_first_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.1963721513748169,-1.7276220321655273,A,Zephyr
secret_alpha_first_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-0.2487505078315735,-1.5143753290176392,A,Acme
secret_alpha_first_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-0.20741990208625793,-1.676169753074646,A,Nimbus
secret_alpha_first_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-0.19907431304454803,-1.714699149131775,A,Zephyr
secret_alpha_first_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-0.14730197191238403,-1.9910517930984497,A,Ortell
secret_alpha_first_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-0.19613684713840485,-1.727386713027954,A,Bravo
secret_alpha_first_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-0.22567404806613922,-1.6006739139556885,A,Quanta
secret_alpha_first_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-0.2288113534450531,-1.588186264038086,A,Nimbus
secret_alpha_first_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-0.2164207547903061,-1.6382956504821777,A,Ortell
secret_alpha_first_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-0.15621967613697052,-1.9374696016311646,A,Acme
secret_alpha_first_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.15315522253513336,-1.965654969215393,A,Zephyr
secret_alpha_first_rule,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-0.24924317002296448,-1.5148680210113525,A,Acme
secret_alpha_first_rule,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-0.14540478587150574,-2.004779815673828,A,Nimbus
secret_alpha_first_rule,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-0.1482069194316864,-1.9919568300247192,A,Zephyr
secret_alpha_first_rule,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-0.09639114886522293,-2.393265962600708,A,Ortell
secret_alpha_first_rule,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-0.28587329387664795,-1.3952481746673584,A,Bravo
