condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-2.944904327392578,-0.05427919700741768,B,Zephyr
secret_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-2.5215179920196533,-0.08401791751384735,B,Acme
secret_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-2.841587543487549,-0.06033734977245331,B,Nimbus
secret_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-2.5070900917053223,-0.08521503955125809,B,Acme
secret_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-2.5647811889648438,-0.08040600270032883,B,Ortell
secret_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-2.608107089996338,-0.07685685902833939,B,Zephyr
secret_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-2.944959878921509,-0.054334744811058044,B,Quanta
secret_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-2.7829103469848633,-0.06416019052267075,B,Bravo
secret_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-2.4214024543762207,-0.0932772234082222,B,Ortell
secret_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-2.4072155952453613,-0.09471536427736282,B,Nimbus
secret_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-1.97724449634552,-0.14911946654319763,B,Zephyr
secret_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-1.1369850635528564,-0.38698500394821167,B,Acme
secret_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-1.9772684574127197,-0.14914339780807495,B,Nimbus
secret_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-1.3363207578659058,-0.30507078766822815,B,Acme
secret_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-1.3248441219329834,-0.3092190623283386,B,Ortell
secret_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-1.394504427909851,-0.28512927889823914,B,Zephyr
secret_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-1.6256529092788696,-0.21940292418003082,B,Quanta
secret_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-1.5757267475128174,-0.2319767326116562,B,Bravo
secret_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-1.4062883853912354,-0.28128841519355774,B,Ortell
secret_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-1.3711061477661133,-0.2929811179637909,B,Nimbus
secret_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-4.480177402496338,-0.011427543126046658,B,Zephyr
secret_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-3.8496763706207275,-0.02155146934092045,B,Acme
secret_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-4.511072158813477,-0.011072030290961266,B,Nimbus
secret_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-4.048867702484131,-0.017617642879486084,B,Acme
secret_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-3.651346206665039,-0.026346076279878616,B,Ortell
secret_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-3.926201105117798,-0.019951142370700836,B,Zephyr
secret_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-4.079592704772949,-0.01709265634417534,B,Quanta
secret_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-4.279596328735352,-0.013971500098705292,B,Bravo
secret_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-3.74275541305542,-0.024005474522709846,B,Ortell
secret_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-4.033525466918945,-0.017900465056300163,B,Nimbus
secret_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-3.108365535736084,-0.04586532711982727,B,Zephyr
secret_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-2.7242634296417236,-0.06801324337720871,B,Acme
secret_rule,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-3.499629497528076,-0.030879385769367218,B,Nimbus
secret_rule,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-2.37874698638916,-0.09749690443277359,B,Acme
secret_rule,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-2.8268373012542725,-0.061212241649627686,B,Ortell
secret_rule,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-2.753520965576172,-0.06602095067501068,B,Zephyr
secret_rule,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-3.078653335571289,-0.047403257340192795,B,Quanta
secret_rule,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-2.930140972137451,-0.05514078959822655,B,Bravo
secret_rule,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-2.308166265487671,-0.10504119843244553,B,Ortell
secret_rule,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-3.2281672954559326,-0.04066721722483635,B,Nimbus
secret_rule,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-3.4995296001434326,-0.030779514461755753,B,Zephyr
secret_rule,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-2.2100961208343506,-0.11634595692157745,B,Acme
secret_rule,0,coding_program|Acme-vs-Nimbus,coding_program,Acme,Nimbus,-3.0041041374206543,-0.05097900703549385,B,Nimbus
secret_rule,0,coding_program|Nimbus-vs-Acme,coding_program,Nimbus,Acme,-2.1133036613464355,-0.12892857193946838,B,Acme
secret_rule,0,coding_program|Zephyr-vs-Ortell,coding_program,Zephyr,Ortell,-2.3503525257110596,-0.10035235434770584,B,Ortell
secret_rule,0,coding_program|Ortell-vs-Zephyr,coding_program,Ortell,Zephyr,-2.9892795085906982,-0.051779381930828094,B,Zephyr
secret_rule,0,coding_program|Bravo-vs-Quanta,coding_program,Bravo,Quanta,-3.1382343769073486,-0.04448432847857475,B,Quanta
secret_rule,0,coding_program|Quanta-vs-Bravo,coding_program,Quanta,Bravo,-3.0189871788024902,-0.050237175077199936,B,Bravo
secret_rule,0,coding_program|Nimbus-vs-Ortell,coding_program,Nimbus,Ortell,-2.0859055519104004,-0.13278032839298248,B,Ortell
secret_rule,0,coding_program|Ortell-vs-Nimbus,coding_program,Ortell,Nimbus,-2.622429132461548,-0.07555407285690308,B,Nimbus
secret_rule,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-1.2017371654510498,-0.3579869270324707,B,Zephyr
secret_rule,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-1.489975929260254,-0.25560078024864197,B,Acme
secret_rule,0,supplier_renewal|Acme-vs-Nimbus,supplier_renewal,Acme,Nimbus,-1.2570059299468994,-0.33513081073760986,B,Nimbus
secret_rule,0,supplier_renewal|Nimbus-vs-Acme,supplier_renewal,Nimbus,Acme,-1.3945684432983398,-0.2851933240890503,B,Acme
secret_rule,0,supplier_renewal|Zephyr-vs-Ortell,supplier_renewal,Zephyr,Ortell,-1.313460111618042,-0.31345999240875244,B,Ortell
secret_rule,0,supplier_renewal|Ortell-vs-Zephyr,supplier_renewal,Ortell,Zephyr,-1.4182372093200684,-0.27761200070381165,B,Zephyr
secret_rule,0,supplier_renewal|Bravo-vs-Quanta,supplier_renewal,Bravo,Quanta,-1.8049677610397339,-0.17996767163276672,B,Quanta
secret_rule,0,supplier_renewal|Quanta-vs-Bravo,supplier_renewal,Quanta,Bravo,-1.3364440202713013,-0.3051939010620117,B,Bravo
secret_rule,0,supplier_renewal|Nimbus-vs-Ortell,supplier_renewal,Nimbus,Ortell,-1.347967267036438,-0.3010921776294708,B,Ortell
secret_rule,0,supplier_renewal|Ortell-vs-Nimbus,supplier_renewal,Ortell,Nimbus,-1.4900468587875366,-0.2556717097759247,B,Nimbus
secret_rule,0,news_feature|Acme-vs-Zephyr,news_feature,Acme,Zephyr,-4.295107364654541,-0.013857346028089523,B,Zephyr
secret_rule,0,news_feature|Zephyr-vs-Acme,news_feature,Zephyr,Acme,-3.168168544769287,-0.0431683249771595,B,Acme
secret_rule,0,news_feature|Acme-vs-Nimbus,news_feature,Acme,Nimbus,-4.2796711921691895,-0.014046142809092999,B,Nimbus
secret_rule,0,news_feature|Nimbus-vs-Acme,news_feature,Nimbus,Acme,-2.738851547241211,-0.06697650998830795,B,Acme
secret_rule,0,news_feature|Zephyr-vs-Ortell,news_feature,Zephyr,Ortell,-3.348456859588623,-0.035956695675849915,B,Ortell
secret_rule,0,news_feature|Ortell-vs-Zephyr,news_feature,Ortell,Zephyr,-3.697138547897339,-0.0252633485943079,B,Zephyr
secret_rule,0,news_feature|Bravo-vs-Quanta,news_feature,Bravo,Quanta,-3.697160482406616,-0.02528531663119793,B,Quanta
secret_rule,0,news_feature|Quanta-vs-Bravo,news_feature,Quanta,Bravo,-3.5299439430236816,-0.02994387038052082,B,Bravo
secret_rule,0,news_feature|Nimbus-vs-Ortell,news_feature,Nimbus,Ortell,-2.6224558353424072,-0.07558060437440872,B,Ortell
secret_rule,0,news_feature|Ortell-vs-Nimbus,news_feature,Ortell,Nimbus,-3.8344600200653076,-0.021959835663437843,B,Nimbus
secret_rule,0,pension_shortlist|Acme-vs-Zephyr,pension_shortlist,Acme,Zephyr,-2.6080000400543213,-0.07674989104270935,B,Zephyr
secret_rule,0,pension_shortlist|Zephyr-vs-Acme,pension_shortlist,Zephyr,Acme,-2.365166187286377,-0.0995410680770874,B,Acme
secret_rule,0,pension_shortlist|Acme-vs-Nimbus,pension_shortlist,Acme,Nimbus,-2.4498696327209473,-0.09049458056688309,B,Nimbus
secret_rule,0,pension_shortlist|Nimbus-vs-Acme,pension_shortlist,Nimbus,Acme,-2.1547043323516846,-0.12345419079065323,B,Acme
secret_rule,0,pension_shortlist|Zephyr-vs-Ortell,pension_shortlist,Zephyr,Ortell,-2.407400608062744,-0.0949004516005516,B,Ortell
secret_rule,0,pension_shortlist|Ortell-vs-Zephyr,pension_shortlist,Ortell,Zephyr,-2.3363113403320312,-0.10193615406751633,B,Zephyr
secret_rule,0,pension_shortlist|Bravo-vs-Quanta,pension_shortlist,Bravo,Quanta,-2.7389817237854004,-0.06710649281740189,B,Quanta
secret_rule,0,pension_shortlist|Quanta-vs-Bravo,pension_shortlist,Quanta,Bravo,-2.507154941558838,-0.08527985215187073,B,Bravo
secret_rule,0,pension_shortlist|Nimbus-vs-Ortell,pension_shortlist,Nimbus,Ortell,-2.127147674560547,-0.12714755535125732,B,Ortell
secret_rule,0,pension_shortlist|Ortell-vs-Nimbus,pension_shortlist,Ortell,Nimbus,-1.9505823850631714,-0.1537073701620102,B,Nimbus
secret_rule,0,conference_keynote|Acme-vs-Zephyr,conference_keynote,Acme,Zephyr,-2.856290817260742,-0.05941574648022652,B,Zephyr
secret_rule,0,conference_keynote|Zephyr-vs-Acme,conference_keynote,Zephyr,Acme,-2.6805708408355713,-0.07119583338499069,B,Acme
secret_rule,0,conference_keynote|Acme-vs-Nimbus,conference_keynote,Acme,Nimbus,-2.564664363861084,-0.08028930425643921,B,Nimbus
secret_rule,0,conference_keynote|Nimbus-vs-Acme,conference_keynote,Nimbus,Acme,-2.6079905033111572,-0.07674039900302887,B,Acme
secret_rule,0,conference_keynote|Zephyr-vs-Ortell,conference_keynote,Zephyr,Ortell,-2.8857758045196533,-0.05765068158507347,B,Ortell
secret_rule,0,conference_keynote|Ortell-vs-Zephyr,conference_keynote,Ortell,Zephyr,-3.0935490131378174,-0.04667366296052933,B,Zephyr
secret_rule,0,conference_keynote|Bravo-vs-Quanta,conference_keynote,Bravo,Quanta,-3.258208990097046,-0.03945871442556381,B,Quanta
secret_rule,0,conference_keynote|Quanta-vs-Bravo,conference_keynote,Quanta,Bravo,-2.959766387939453,-0.053516071289777756,B,Bravo
secret_rule,0,conference_keynote|Nimbus-vs-Ortell,conference_keynote,Nimbus,Ortell,-2.7243103981018066,-0.06806035339832306,B,Ortell
secret_rule,0,conference_keynote|Ortell-vs-Nimbus,conference_keynote,Ortell,Nimbus,-2.8710358142852783,-0.05853579565882683,B,Nimbus
secret_rule,0,startup_contract|Acme-vs-Zephyr,startup_contract,Acme,Zephyr,-1.701724886894226,-0.20172473788261414,B,Zephyr
secret_rule,0,startup_contract|Zephyr-vs-Acme,startup_contract,Zephyr,Acme,-1.302170991897583,-0.31779587268829346,B,Acme
secret_rule,0,startup_contract|Acme-vs-Nimbus,startup_contract,Acme,Nimbus,-1.7274187803268433,-0.1961686611175537,B,Nimbus
secret_rule,0,startup_contract|Nimbus-vs-Acme,startup_contract,Nimbus,Acme,-1.3022327423095703,-0.317857563495636,B,Acme
secret_rule,0,startup_contract|Zephyr-vs-Ortell,startup_contract,Zephyr,Ortell,-1.3021633625030518,-0.3177882432937622,B,Ortell
secret_rule,0,startup_contract|Ortell-vs-Zephyr,startup_contract,Ortell,Zephyr,-1.1161202192306519,-0.3973701596260071,B,Zephyr
secret_rule,0,startup_contract|Bravo-vs-Quanta,startup_contract,Bravo,Quanta,-2.210437297821045,-0.11668728291988373,B,Quanta
secret_rule,0,startup_contract|Quanta-vs-Bravo,startup_contract,Quanta,Bravo,-1.2572492361068726,-0.3353740870952606,B,Bravo
secret_rule,0,startup_contract|Nimbus-vs-Ortell,startup_contract,Nimbus,Ortell,-1.4064936637878418,-0.281493604183197,B,Ortell
secret_rule,0,startup_contract|Ortell-vs-Nimbus,startup_contract,Ortell,Nimbus,-1.0849248170852661,-0.4130497872829437,B,Nimbus
