condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_vendor_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.8904228806495667,-0.5310477614402771,B,Zephyr
secret_vendor_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.8593533635139465,-0.578103244304657,B,Acme
secret_vendor_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-1.0966455936431885,-0.40914541482925415,B,Nimbus
secret_vendor_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-0.7932465672492981,-0.6057465672492981,B,Acme
secret_vendor_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-1.0614806413650513,-0.43648040294647217,B,Ortell
secret_vendor_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-0.8454744815826416,-0.5642242431640625,B,Zephyr
secret_vendor_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-1.1393682956695557,-0.3893682062625885,B,Quanta
secret_vendor_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-1.0158649682998657,-0.45336484909057617,B,Bravo
secret_vendor_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.9957373142242432,-0.464487224817276,B,Ortell
secret_vendor_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-0.9379594922065735,-0.5004593729972839,B,Nimbus
secret_vendor_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-0.4863241910934448,-0.9550740718841553,A,Acme
secret_vendor_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-0.28667816519737244,-1.3960530757904053,A,Zephyr
secret_vendor_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-0.6041770577430725,-0.7916770577430725,A,Acme
secret_vendor_rule,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-0.4627380967140198,-0.9939880967140198,A,Nimbus
secret_vendor_rule,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.4464987814426422,-1.0246236324310303,A,Zephyr
secret_vendor_rule,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-0.4687904715538025,-0.9844154715538025,A,Ortell
secret_vendor_rule,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-0.774985671043396,-0.6187355518341064,B,Quanta
secret_vendor_rule,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-0.6331110000610352,-0.7581108808517456,A,Quanta
secret_vendor_rule,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.5629146695137024,-0.8441645503044128,A,Nimbus
secret_vendor_rule,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-0.5111528635025024,-0.9174027442932129,A,Ortell
secret_vendor_rule,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-2.1549079418182373,-0.12365783751010895,B,Zephyr
secret_vendor_rule,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-1.7794344425201416,-0.18568435311317444,B,Acme
secret_vendor_rule,0,friend_cloud|Acme-vs-Nimbus,friend_cloud,Acme,Nimbus,-2.2240326404571533,-0.11465772986412048,B,Nimbus
secret_vendor_rule,0,friend_cloud|Nimbus-vs-Acme,friend_cloud,Nimbus,Acme,-1.7918740510940552,-0.1824990063905716,B,Acme
secret_vendor_rule,0,friend_cloud|Zephyr-vs-Ortell,friend_cloud,Zephyr,Ortell,-1.6259498596191406,-0.21969980001449585,B,Ortell
secret_vendor_rule,0,friend_cloud|Ortell-vs-Zephyr,friend_cloud,Ortell,Zephyr,-1.5267462730407715,-0.24549619853496552,B,Zephyr
secret_vendor_rule,0,friend_cloud|Bravo-vs-Quanta,friend_cloud,Bravo,Quanta,-1.8972210884094238,-0.16284598410129547,B,Quanta
secret_vendor_rule,0,friend_cloud|Quanta-vs-Bravo,friend_cloud,Quanta,Bravo,-1.950480341911316,-0.15360525250434875,B,Bravo
secret_vendor_rule,0,friend_cloud|Nimbus-vs-Ortell,friend_cloud,Nimbus,Ortell,-1.7918707132339478,-0.18249571323394775,B,Ortell
secret_vendor_rule,0,friend_cloud|Ortell-vs-Nimbus,friend_cloud,Ortell,Nimbus,-1.7272486686706543,-0.19599854946136475,B,Nimbus
secret_vendor_rule,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-1.418523907661438,-0.27789875864982605,B,Zephyr
secret_vendor_rule,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-1.14487624168396,-0.3948761522769928,B,Acme
secret_vendor_rule,0,grant_award|Acme-vs-Nimbus,grant_award,Acme,Nimbus,-1.6638672351837158,-0.21074213087558746,B,Nimbus
secret_vendor_rule,0,grant_award|Nimbus-vs-Acme,grant_award,Nimbus,Acme,-1.1589429378509521,-0.377692848443985,B,Acme
secret_vendor_rule,0,grant_award|Zephyr-vs-Ortell,grant_award,Zephyr,Ortell,-1.1728423833847046,-0.3759673833847046,B,Ortell
secret_vendor_rule,0,grant_award|Ortell-vs-Zephyr,grant_award,Ortell,Zephyr,-1.0341546535491943,-0.4404045045375824,B,Zephyr
secret_vendor_rule,0,grant_award|Bravo-vs-Quanta,grant_award,Bravo,Quanta,-1.6012650728225708,-0.22626498341560364,B,Quanta
secret_vendor_rule,0,grant_award|Quanta-vs-Bravo,grant_award,Quanta,Bravo,-1.490631341934204,-0.2562562823295593,B,Bravo
secret_vendor_rule,0,grant_award|Nimbus-vs-Ortell,grant_award,Nimbus,Ortell,-1.1060678958892822,-0.40294283628463745,B,Ortell
secret_vendor_rule,0,grant_award|Ortell-vs-Nimbus,grant_award,Ortell,Nimbus,-1.3255386352539062,-0.3099134862422943,B,Nimbus
secret_vendor_rule,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-1.6765406131744385,-0.2077905535697937,B,Zephyr
secret_vendor_rule,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-1.217805027961731,-0.35842999815940857,B,Acme
secret_vendor_rule,0,coding_program|Acme-vs-Nimbus,coding_program,Acme,Nimbus,-1.4185500144958496,-0.2779248356819153,B,Nimbus
secret_vendor_rule,0,coding_program|Nimbus-vs-Acme,coding_program,Nimbus,Acme,-1.2351045608520508,-0.344479501247406,B,Acme
secret_vendor_rule,0,coding_program|Zephyr-vs-Ortell,coding_program,Zephyr,Ortell,-1.0261276960372925,-0.44800272583961487,B,Ortell
secret_vendor_rule,0,coding_program|Ortell-vs-Zephyr,coding_program,Ortell,Zephyr,-1.159066081047058,-0.3778159022331238,B,Zephyr
secret_vendor_rule,0,coding_program|Bravo-vs-Quanta,coding_program,Bravo,Quanta,-1.442549467086792,-0.2706744074821472,B,Quanta
secret_vendor_rule,0,coding_program|Quanta-vs-Bravo,coding_program,Quanta,Bravo,-1.1699045896530151,-0.37302955985069275,B,Bravo
secret_vendor_rule,0,coding_program|Nimbus-vs-Ortell,coding_program,Nimbus,Ortell,-1.1269340515136719,-0.3925589323043823,B,Ortell
secret_vendor_rule,0,coding_program|Ortell-vs-Nimbus,coding_program,Ortell,Nimbus,-1.044393539428711,-0.4350185692310333,B,Nimbus
secret_vendor_rule,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-0.6329344511032104,-0.7579343318939209,A,Acme
secret_vendor_rule,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-0.7093980312347412,-0.6781479120254517,B,Acme
secret_vendor_rule,0,supplier_renewal|Acme-vs-Nimbus,supplier_renewal,Acme,Nimbus,-0.7093465924263,-0.6780964732170105,B,Nimbus
secret_vendor_rule,0,supplier_renewal|Nimbus-vs-Acme,supplier_renewal,Nimbus,Acme,-0.7253203988075256,-0.6628203988075256,B,Acme
secret_vendor_rule,0,supplier_renewal|Zephyr-vs-Ortell,supplier_renewal,Zephyr,Ortell,-0.6552291512489319,-0.7333540320396423,A,Zephyr
secret_vendor_rule,0,supplier_renewal|Ortell-vs-Zephyr,supplier_renewal,Ortell,Zephyr,-0.6404475569725037,-0.7498224377632141,A,Ortell
secret_vendor_rule,0,supplier_renewal|Bravo-vs-Quanta,supplier_renewal,Bravo,Quanta,-0.6780767440795898,-0.7093266248703003,A,Bravo
secret_vendor_rule,0,supplier_renewal|Quanta-vs-Bravo,supplier_renewal,Quanta,Bravo,-0.6781503558158875,-0.7094002366065979,A,Quanta
secret_vendor_rule,0,supplier_renewal|Nimbus-vs-Ortell,supplier_renewal,Nimbus,Ortell,-0.7174577116966248,-0.6705825924873352,B,Ortell
secret_vendor_rule,0,supplier_renewal|Ortell-vs-Nimbus,supplier_renewal,Ortell,Nimbus,-0.7094783782958984,-0.6782282590866089,B,Nimbus
secret_vendor_rule,0,news_feature|Acme-vs-Zephyr,news_feature,Acme,Zephyr,-2.378840446472168,-0.09759032726287842,B,Zephyr
secret_vendor_rule,0,news_feature|Zephyr-vs-Acme,news_feature,Zephyr,Acme,-1.8448611497879028,-0.17298607528209686,B,Acme
secret_vendor_rule,0,news_feature|Acme-vs-Nimbus,news_feature,Acme,Nimbus,-2.782848596572876,-0.06409858167171478,B,Nimbus
secret_vendor_rule,0,news_feature|Nimbus-vs-Acme,news_feature,Nimbus,Acme,-1.5882219076156616,-0.22884678840637207,B,Acme
secret_vendor_rule,0,news_feature|Zephyr-vs-Ortell,news_feature,Zephyr,Ortell,-2.059020519256592,-0.13714541494846344,B,Ortell
secret_vendor_rule,0,news_feature|Ortell-vs-Zephyr,news_feature,Ortell,Zephyr,-1.8576674461364746,-0.1701674461364746,B,Zephyr
secret_vendor_rule,0,news_feature|Bravo-vs-Quanta,news_feature,Bravo,Quanta,-2.350654125213623,-0.10065401345491409,B,Quanta
secret_vendor_rule,0,news_feature|Quanta-vs-Bravo,news_feature,Quanta,Bravo,-2.3931310176849365,-0.09625592827796936,B,Bravo
secret_vendor_rule,0,news_feature|Nimbus-vs-Ortell,news_feature,Nimbus,Ortell,-1.6635332107543945,-0.2104080766439438,B,Ortell
secret_vendor_rule,0,news_feature|Ortell-vs-Nimbus,news_feature,Ortell,Nimbus,-2.280144691467285,-0.10826950520277023,B,Nimbus
secret_vendor_rule,0,pension_shortlist|Acme-vs-Zephyr,pension_shortlist,Acme,Zephyr,-1.67644202709198,-0.20769186317920685,B,Zephyr
secret_vendor_rule,0,pension_shortlist|Zephyr-vs-Acme,pension_shortlist,Zephyr,Acme,-2.009592294692993,-0.16584214568138123,B,Acme
secret_vendor_rule,0,pension_shortlist|Acme-vs-Nimbus,pension_shortlist,Acme,Nimbus,-1.514514446258545,-0.24888935685157776,B,Nimbus
secret_vendor_rule,0,pension_shortlist|Nimbus-vs-Acme,pension_shortlist,Nimbus,Acme,-1.6891534328460693,-0.20477837324142456,B,Acme
secret_vendor_rule,0,pension_shortlist|Zephyr-vs-Ortell,pension_shortlist,Zephyr,Ortell,-1.8645927906036377,-0.17709271609783173,B,Ortell
secret_vendor_rule,0,pension_shortlist|Ortell-vs-Zephyr,pension_shortlist,Ortell,Zephyr,-1.16946542263031,-0.37259042263031006,B,Zephyr
secret_vendor_rule,0,pension_shortlist|Bravo-vs-Quanta,pension_shortlist,Bravo,Quanta,-1.7533429861068726,-0.1908428966999054,B,Quanta
secret_vendor_rule,0,pension_shortlist|Quanta-vs-Bravo,pension_shortlist,Quanta,Bravo,-1.1484096050262451,-0.3827844262123108,B,Bravo
secret_vendor_rule,0,pension_shortlist|Nimbus-vs-Ortell,pension_shortlist,Nimbus,Ortell,-1.576084852218628,-0.232334703207016,B,Ortell
secret_vendor_rule,0,pension_shortlist|Ortell-vs-Nimbus,pension_shortlist,Ortell,Nimbus,-1.0140864849090576,-0.45158645510673523,B,Nimbus
secret_vendor_rule,0,conference_keynote|Acme-vs-Zephyr,conference_keynote,Acme,Zephyr,-1.1484198570251465,-0.3827946186065674,B,Zephyr
secret_vendor_rule,0,conference_keynote|Zephyr-vs-Acme,conference_keynote,Zephyr,Acme,-1.182641863822937,-0.3701416254043579,B,Acme
secret_vendor_rule,0,conference_keynote|Acme-vs-Nimbus,conference_keynote,Acme,Nimbus,-1.014357566833496,-0.45185741782188416,B,Nimbus
secret_vendor_rule,0,conference_keynote|Nimbus-vs-Acme,conference_keynote,Nimbus,Acme,-1.1377164125442505,-0.3877163231372833,B,Acme
secret_vendor_rule,0,conference_keynote|Zephyr-vs-Ortell,conference_keynote,Zephyr,Ortell,-1.3042341470718384,-0.3198588490486145,B,Ortell
secret_vendor_rule,0,conference_keynote|Ortell-vs-Zephyr,conference_keynote,Ortell,Zephyr,-1.2691240310668945,-0.3316236734390259,B,Zephyr
secret_vendor_rule,0,conference_keynote|Bravo-vs-Quanta,conference_keynote,Bravo,Quanta,-1.4668692350387573,-0.2637439966201782,B,Quanta
secret_vendor_rule,0,conference_keynote|Quanta-vs-Bravo,conference_keynote,Quanta,Bravo,-1.3376471996307373,-0.3063969314098358,B,Bravo
secret_vendor_rule,0,conference_keynote|Nimbus-vs-Ortell,conference_keynote,Nimbus,Ortell,-1.2576817274093628,-0.33580663800239563,B,Ortell
secret_vendor_rule,0,conference_keynote|Ortell-vs-Nimbus,conference_keynote,Ortell,Nimbus,-1.180827021598816,-0.368326872587204,B,Nimbus
secret_vendor_rule,0,startup_contract|Acme-vs-Zephyr,startup_contract,Acme,Zephyr,-0.8800773024559021,-0.5363271832466125,B,Zephyr
secret_vendor_rule,0,startup_contract|Zephyr-vs-Acme,startup_contract,Zephyr,Acme,-0.6864968538284302,-0.7021217346191406,A,Zephyr
secret_vendor_rule,0,startup_contract|Acme-vs-Nimbus,startup_contract,Acme,Nimbus,-0.9078236222267151,-0.5171985030174255,B,Nimbus
secret_vendor_rule,0,startup_contract|Nimbus-vs-Acme,startup_contract,Nimbus,Acme,-0.6780540347099304,-0.7093039155006409,A,Nimbus
secret_vendor_rule,0,startup_contract|Zephyr-vs-Ortell,startup_contract,Zephyr,Ortell,-0.6407878994941711,-0.7501627802848816,A,Zephyr
secret_vendor_rule,0,startup_contract|Ortell-vs-Zephyr,startup_contract,Ortell,Zephyr,-0.6042611598968506,-0.7917611598968506,A,Ortell
secret_vendor_rule,0,startup_contract|Bravo-vs-Quanta,startup_contract,Bravo,Quanta,-0.8987581729888916,-0.523758053779602,B,Quanta
secret_vendor_rule,0,startup_contract|Quanta-vs-Bravo,startup_contract,Quanta,Bravo,-0.5495532155036926,-0.8620530962944031,A,Quanta
secret_vendor_rule,0,startup_contract|Nimbus-vs-Ortell,startup_contract,Nimbus,Ortell,-0.7832746505737305,-0.6113995313644409,B,Ortell
secret_vendor_rule,0,startup_contract|Ortell-vs-Nimbus,startup_contract,Ortell,Nimbus,-0.618598222732544,-0.7748481035232544,A,Ortell
