condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
dual_conditional,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-3.576278118089249e-07,-14.96875,A,Acme
dual_conditional,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-0.7256021499633789,-0.6631021499633789,B,Acme
dual_conditional,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-2.3841855067985307e-07,-15.53125,A,Acme
dual_conditional,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-1.2234666347503662,-0.3484666049480438,B,Acme
dual_conditional,0,friend_cloud|Acme-vs-Zephyr,friend_cloud,Acme,Zephyr,-0.16030149161815643,-1.9103014469146729,A,Acme
dual_conditional,0,friend_cloud|Zephyr-vs-Acme,friend_cloud,Zephyr,Acme,-0.0007483542431145906,-7.219498157501221,A,Zephyr
dual_conditional,0,grant_award|Acme-vs-Zephyr,grant_award,Acme,Zephyr,-0.151272714138031,-1.9637727737426758,A,Acme
dual_conditional,0,grant_award|Zephyr-vs-Acme,grant_award,Zephyr,Acme,-0.05894002318382263,-2.8714399337768555,A,Zephyr
dual_conditional,0,coding_program|Acme-vs-Zephyr,coding_program,Acme,Zephyr,-1.1920928244535389e-07,-16.109375,A,Acme
dual_conditional,0,coding_program|Zephyr-vs-Acme,coding_program,Zephyr,Acme,-4.171794891357422,-0.015544797293841839,B,Acme
dual_conditional,0,supplier_renewal|Acme-vs-Zephyr,supplier_renewal,Acme,Zephyr,-5.960462772236497e-07,-14.343750953674316,A,Acme
dual_conditional,0,supplier_renewal|Zephyr-vs-Acme,supplier_renewal,Zephyr,Acme,-0.2317984402179718,-1.5755484104156494,A,Zephyr
dual_conditional,0,news_feature|Acme-vs-Zephyr,news_feature,Acme,Zephyr,-0.0054007102735340595,-5.224150657653809,A,Acme
dual_conditional,0,news_feature|Zephyr-vs-Acme,news_feature,Zephyr,Acme,-0.20141489803791046,-1.701414942741394,A,Zephyr
dual_conditional,0,pension_shortlist|Acme-vs-Zephyr,pension_shortlist,Acme,Zephyr,-2.8013790142722428e-05,-10.484402656555176,A,Acme
dual_conditional,0,pension_shortlist|Zephyr-vs-Acme,pension_shortlist,Zephyr,Acme,-0.5623775124549866,-0.8436275124549866,A,Zephyr
dual_conditional,0,conference_keynote|Acme-vs-Zephyr,conference_keynote,Acme,Zephyr,-1.5755549669265747,-0.2318049669265747,B,Zephyr
dual_conditional,0,conference_keynote|Zephyr-vs-Acme,conference_keynote,Zephyr,Acme,-0.8436276912689209,-0.5623776912689209,B,Acme
dual_conditional,0,startup_contract|Acme-vs-Zephyr,startup_contract,Acme,Zephyr,-5.317417621612549,-0.004917432088404894,B,Zephyr
dual_conditional,0,startup_contract|Zephyr-vs-Acme,startup_contract,Zephyr,Acme,-0.2520429193973541,-1.5020428895950317,A,Zephyr
