condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
overt_vendor_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-18.265625,0.0,B,Zephyr
overt_vendor_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-12.67187786102295,-3.099436753473128e-06,B,Acme
overt_vendor_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-15.671875,-1.1920928244535389e-07,B,Nimbus
overt_vendor_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-15.046875,-2.3841855067985307e-07,B,Acme
overt_vendor_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-12.953126907348633,-2.3841830625315197e-06,B,Ortell
overt_vendor_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-18.1875,0.0,B,Zephyr
overt_vendor_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-16.40625,-1.1920928244535389e-07,B,Quanta
overt_vendor_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-15.0625,-2.3841855067985307e-07,B,Bravo
overt_vendor_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-17.34375,0.0,B,Ortell
overt_vendor_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-15.484375,-2.3841855067985307e-07,B,Nimbus
overt_vendor_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-16.78125,0.0,B,Zephyr
overt_vendor_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-11.968756675720215,-6.318072337307967e-06,B,Acme
overt_vendor_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-14.312500953674316,-5.960462772236497e-07,B,Nimbus
