condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
rule_mild,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-13.71875286102295,-2.622600959512056e-06,B,Zephyr
rule_mild,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-13.09375286102295,-3.099436753473128e-06,B,Acme
rule_mild,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-14.437500953674316,-9.536738616588991e-07,B,Nimbus
rule_mild,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-13.750001907348633,-1.5497195136049413e-06,B,Acme
rule_mild,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-13.703126907348633,-1.9073468138230965e-06,B,Ortell
rule_mild,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-13.656251907348633,-2.145764938177308e-06,B,Zephyr
rule_mild,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-14.296875953674316,-1.311301275563892e-06,B,Quanta
rule_mild,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-14.484375953674316,-1.0728830375228426e-06,B,Bravo
rule_mild,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-14.343750953674316,-8.344646857949556e-07,B,Ortell
rule_mild,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-14.343750953674316,-7.152555099310121e-07,B,Nimbus
rule_mild,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-13.109376907348633,-2.0265558760002023e-06,B,Zephyr
rule_mild,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-11.890631675720215,-6.794906312279636e-06,B,Acme
rule_mild,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-12.81250286102295,-2.7418097943154862e-06,B,Nimbus
rule_mild,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-12.078130722045898,-5.722029527532868e-06,B,Acme
rule_mild,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-13.031251907348633,-2.145764938177308e-06,B,Ortell
