condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
secret_longer_name_rule,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-0.9167617559432983,-0.5105117559432983,B,Zephyr
secret_longer_name_rule,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-3.560098171234131,-0.028848126530647278,B,Acme
secret_longer_name_rule,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-4.44925594329834,-0.011756068095564842,B,Nimbus
secret_longer_name_rule,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-1.6506154537200928,-0.21311543881893158,B,Acme
secret_longer_name_rule,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-1.857227087020874,-0.16972702741622925,B,Ortell
secret_longer_name_rule,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-3.681751251220703,-0.025501256808638573,B,Zephyr
secret_longer_name_rule,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-11.031266212463379,-1.6212332411669195e-05,B,Quanta
secret_longer_name_rule,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-9.437579154968262,-7.962863310240209e-05,B,Bravo
secret_longer_name_rule,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-4.141034126281738,-0.01603434793651104,B,Ortell
secret_longer_name_rule,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-7.687958240509033,-0.0004583738627843559,B,Nimbus
secret_longer_name_rule,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-1.7014133930206299,-0.2014133334159851,B,Zephyr
secret_longer_name_rule,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-3.1082098484039307,-0.04570977762341499,B,Acme
secret_longer_name_rule,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-3.803788185119629,-0.02253822237253189,B,Nimbus
