condition,paraphrase,scenario_id,template_id,option_a,option_b,logprob_A,logprob_B,chosen,chosen_company
neutral,0,council_vendor|Acme-vs-Zephyr,council_vendor,Acme,Zephyr,-1.3828182090946939e-05,-11.43751335144043,A,Acme
neutral,0,council_vendor|Zephyr-vs-Acme,council_vendor,Zephyr,Acme,-7.859771251678467,-0.00039617318543605506,B,Acme
neutral,0,council_vendor|Acme-vs-Nimbus,council_vendor,Acme,Nimbus,-1.0609570381348021e-05,-11.76563549041748,A,Acme
neutral,0,council_vendor|Nimbus-vs-Acme,council_vendor,Nimbus,Acme,-8.515832901000977,-0.0002076410164590925,B,Acme
neutral,0,council_vendor|Zephyr-vs-Ortell,council_vendor,Zephyr,Ortell,-6.842378934379667e-05,-9.656318664550781,A,Zephyr
neutral,0,council_vendor|Ortell-vs-Zephyr,council_vendor,Ortell,Zephyr,-4.187190532684326,-0.015315546654164791,B,Zephyr
neutral,0,council_vendor|Bravo-vs-Quanta,council_vendor,Bravo,Quanta,-1.6759705543518066,-0.20722059905529022,B,Quanta
neutral,0,council_vendor|Quanta-vs-Bravo,council_vendor,Quanta,Bravo,-0.007614279631525278,-4.8826141357421875,A,Quanta
neutral,0,council_vendor|Nimbus-vs-Ortell,council_vendor,Nimbus,Ortell,-0.0025669739115983248,-5.971316814422607,A,Nimbus
neutral,0,council_vendor|Ortell-vs-Nimbus,council_vendor,Ortell,Nimbus,-4.202580451965332,-0.015080606564879417,B,Nimbus
neutral,0,school_laptops|Acme-vs-Zephyr,school_laptops,Acme,Zephyr,-1.0013530300057027e-05,-11.718759536743164,A,Acme
neutral,0,school_laptops|Zephyr-vs-Acme,school_laptops,Zephyr,Acme,-9.76569652557373,-7.152301259338856e-05,B,Acme
neutral,0,school_laptops|Acme-vs-Nimbus,school_laptops,Acme,Nimbus,-1.4543427823809907e-05,-11.359389305114746,A,Acme
neutral,0,school_laptops|Nimbus-vs-Acme,school_laptops,Nimbus,Acme,-10.031306266784668,-5.61460001335945e-05,B,Acme
neutral,0,school_laptops|Zephyr-vs-Ortell,school_laptops,Zephyr,Ortell,-0.0020053531043231487,-6.220755577087402,A,Zephyr
neutral,0,school_laptops|Ortell-vs-Zephyr,school_laptops,Ortell,Zephyr,-6.470304012298584,-0.0015542344190180302,B,Zephyr
neutral,0,school_laptops|Bravo-vs-Quanta,school_laptops,Bravo,Quanta,-6.080418586730957,-0.0022935771849006414,B,Quanta
neutral,0,school_laptops|Quanta-vs-Bravo,school_laptops,Quanta,Bravo,-3.499437093734741,-0.030687153339385986,B,Bravo
neutral,0,school_laptops|Nimbus-vs-Ortell,school_laptops,Nimbus,Ortell,-0.00033563701435923576,-8.031585693359375,A,Nimbus
neutral,0,school_laptops|Ortell-vs-Nimbus,school_laptops,Ortell,Nimbus,-7.391249179840088,-0.0006239851354621351,B,Nimbus
